
     ***************************************
                   第    1   荷载步
     ***************************************


              节点位移 
=======================================

 节点号        u            V            W           Rx           Ry           Rz
    1     -7.89e-029   -6.61e-029    1.97e-047    2.01e-041   -3.41e-042    1.99e-027
    2     -9.24e-002    4.33e-002    6.43e-016    3.89e-018    8.54e-020    3.44e-004
    3     -2.37e-001    1.67e-001    2.38e-015    7.74e-018    1.92e-019    3.87e-004
    4     -3.56e-001    2.73e-001    4.98e-015    1.15e-017    1.15e-019    2.46e-004
    5     -4.18e-001    3.06e-001    8.29e-015    1.53e-017    1.02e-019    1.00e-005
    6     -4.20e-001    2.41e-001    1.21e-014    1.91e-017   -5.95e-020   -2.57e-004
    7     -3.72e-001    7.32e-002    1.63e-014    2.30e-017    2.32e-019   -5.10e-004
    8     -2.93e-001   -1.84e-001    2.05e-014    2.71e-017    6.07e-019   -7.16e-004
    9     -2.01e-001   -5.09e-001    2.45e-014    3.08e-017    9.04e-019   -8.56e-004
   10     -1.12e-001   -8.74e-001    2.84e-014    3.48e-017    1.05e-018   -9.22e-004
   11     -3.92e-002   -1.25e+000    3.18e-014    3.80e-017    1.43e-018   -9.10e-004
   12      1.11e-002   -1.60e+000    3.47e-014    4.08e-017    1.51e-018   -8.27e-004
   13      3.65e-002   -1.91e+000    3.70e-014    4.34e-017    1.22e-018   -6.80e-004
   14      3.89e-002   -2.14e+000    3.87e-014    4.61e-017    9.31e-019   -4.83e-004
   15      2.41e-002   -2.29e+000    3.98e-014    4.80e-017    6.20e-019   -2.50e-004
   16     -5.67e-013   -2.34e+000    4.01e-014    4.81e-017    2.74e-019   -8.85e-016
   17     -2.41e-002   -2.29e+000    3.96e-014    4.62e-017   -6.25e-020    2.50e-004
   18     -3.89e-002   -2.14e+000    3.84e-014    4.35e-017   -3.36e-019    4.83e-004
   19     -3.65e-002   -1.91e+000    3.65e-014    4.11e-017   -6.71e-019    6.80e-004
   20     -1.11e-002   -1.60e+000    3.41e-014    3.85e-017   -6.62e-019    8.27e-004
   21      3.92e-002   -1.25e+000    3.11e-014    3.52e-017   -3.45e-019    9.10e-004
   22      1.12e-001   -8.74e-001    2.76e-014    3.16e-017   -2.90e-019    9.22e-004
   23      2.01e-001   -5.09e-001    2.38e-014    2.81e-017   -7.06e-020    8.56e-004
   24      2.93e-001   -1.84e-001    1.98e-014    2.47e-017    2.69e-019    7.16e-004
   25      3.72e-001    7.32e-002    1.56e-014    2.10e-017    6.94e-019    5.10e-004
   26      4.20e-001    2.41e-001    1.16e-014    1.74e-017    4.19e-019    2.57e-004
   27      4.18e-001    3.06e-001    7.91e-015    1.39e-017    2.83e-019   -1.00e-005
   28      3.56e-001    2.73e-001    4.78e-015    1.04e-017    1.84e-019   -2.46e-004
   29      2.37e-001    1.67e-001    2.28e-015    7.09e-018    1.04e-019   -3.87e-004
   30      9.24e-002    4.33e-002    6.15e-016    3.53e-018    8.74e-020   -3.44e-004
   31      7.89e-029   -6.61e-029   -2.62e-047    1.82e-041    4.10e-042   -1.99e-027


              单元应变 
=======================================

 单元号：              1
高斯点     Stra11       Stra22        Stra33        Stra12        Stra13        Stra23
   1    -8.11e-005     0.00e+000     0.00e+000     4.96e-006     3.79e-023    -3.40e-034
   2    -8.11e-005     0.00e+000     0.00e+000     4.96e-006     3.79e-023    -3.40e-034
   3    -8.11e-005     0.00e+000     0.00e+000     4.96e-006     3.79e-023    -3.40e-034
   4    -1.07e-004     0.00e+000     0.00e+000     4.96e-006     2.31e-019    -3.53e-034
   5    -1.07e-004     0.00e+000     0.00e+000     4.96e-006     2.31e-019    -3.53e-034
   6    -1.34e-004     0.00e+000     0.00e+000     4.96e-006     4.62e-019    -4.20e-034
   7    -8.11e-005     0.00e+000     0.00e+000     4.96e-006     3.79e-023    -3.40e-034
   8    -8.11e-005     0.00e+000     0.00e+000     4.96e-006     3.79e-023    -3.40e-034
   9    -8.11e-005     0.00e+000     0.00e+000     4.96e-006     3.79e-023    -3.40e-034
  10    -5.49e-005     0.00e+000     0.00e+000     4.96e-006    -2.31e-019    -3.27e-034
  11    -5.49e-005     0.00e+000     0.00e+000     4.96e-006    -2.31e-019    -3.27e-034
  12    -2.86e-005     0.00e+000     0.00e+000     4.96e-006    -4.62e-019    -5.09e-034
  13    -8.11e-005     0.00e+000     0.00e+000     4.96e-006     3.79e-023    -3.40e-034
  14    -8.11e-005     0.00e+000     0.00e+000     4.96e-006     3.79e-023    -3.40e-034
  15    -8.11e-005     0.00e+000     0.00e+000     4.96e-006     3.79e-023    -3.40e-034
  16    -1.07e-004     0.00e+000     0.00e+000     4.96e-006     2.31e-019    -3.53e-034
  17    -1.07e-004     0.00e+000     0.00e+000     4.96e-006     2.31e-019    -3.53e-034
  18    -1.34e-004     0.00e+000     0.00e+000     4.96e-006     4.62e-019    -4.20e-034
  19    -8.11e-005     0.00e+000     0.00e+000     4.96e-006     3.79e-023    -3.40e-034
  20    -8.11e-005     0.00e+000     0.00e+000     4.96e-006     3.79e-023    -3.40e-034
  21    -8.11e-005     0.00e+000     0.00e+000     4.96e-006     3.79e-023    -3.40e-034
  22    -5.49e-005     0.00e+000     0.00e+000     4.96e-006    -2.31e-019    -3.27e-034
  23    -5.49e-005     0.00e+000     0.00e+000     4.96e-006    -2.31e-019    -3.27e-034
  24    -2.86e-005     0.00e+000     0.00e+000     4.96e-006    -4.62e-019    -5.09e-034
 单元号：              2
高斯点     Stra11       Stra22        Stra33        Stra12        Stra13        Stra23
   1    -7.86e-005     0.00e+000     0.00e+000     3.53e-006     3.79e-023    -5.50e-034
   2    -7.86e-005     0.00e+000     0.00e+000     3.53e-006     3.79e-023    -5.50e-034
   3    -7.86e-005     0.00e+000     0.00e+000     3.53e-006     3.79e-023    -5.50e-034
   4    -8.20e-005     0.00e+000     0.00e+000     3.53e-006     2.47e-019    -8.32e-034
   5    -8.20e-005     0.00e+000     0.00e+000     3.53e-006     2.47e-019    -8.32e-034
   6    -8.55e-005     0.00e+000     0.00e+000     3.53e-006     4.94e-019    -6.58e-034
   7    -7.86e-005     0.00e+000     0.00e+000     3.53e-006     3.79e-023    -5.50e-034
   8    -7.86e-005     0.00e+000     0.00e+000     3.53e-006     3.79e-023    -5.50e-034
   9    -7.86e-005     0.00e+000     0.00e+000     3.53e-006     3.79e-023    -5.50e-034
  10    -7.52e-005     0.00e+000     0.00e+000     3.53e-006    -2.47e-019    -9.21e-034
  11    -7.52e-005     0.00e+000     0.00e+000     3.53e-006    -2.47e-019    -9.21e-034
  12    -7.18e-005     0.00e+000     0.00e+000     3.53e-006    -4.94e-019    -5.77e-034
  13    -7.86e-005     0.00e+000     0.00e+000     3.53e-006     3.79e-023    -5.50e-034
  14    -7.86e-005     0.00e+000     0.00e+000     3.53e-006     3.79e-023    -5.50e-034
  15    -7.86e-005     0.00e+000     0.00e+000     3.53e-006     3.79e-023    -5.50e-034
  16    -8.20e-005     0.00e+000     0.00e+000     3.53e-006     2.47e-019    -8.32e-034
  17    -8.20e-005     0.00e+000     0.00e+000     3.53e-006     2.47e-019    -8.32e-034
  18    -8.55e-005     0.00e+000     0.00e+000     3.53e-006     4.94e-019    -6.58e-034
  19    -7.86e-005     0.00e+000     0.00e+000     3.53e-006     3.79e-023    -5.50e-034
  20    -7.86e-005     0.00e+000     0.00e+000     3.53e-006     3.79e-023    -5.50e-034
  21    -7.86e-005     0.00e+000     0.00e+000     3.53e-006     3.79e-023    -5.50e-034
  22    -7.52e-005     0.00e+000     0.00e+000     3.53e-006    -2.47e-019    -9.21e-034
  23    -7.52e-005     0.00e+000     0.00e+000     3.53e-006    -2.47e-019    -9.21e-034
  24    -7.18e-005     0.00e+000     0.00e+000     3.53e-006    -4.94e-019    -5.77e-034
 单元号：              3
高斯点     Stra11       Stra22        Stra33        Stra12        Stra13        Stra23
   1    -7.63e-005     0.00e+000     0.00e+000     2.25e-006     3.80e-023     7.18e-035
   2    -7.63e-005     0.00e+000     0.00e+000     2.25e-006     3.80e-023     7.18e-035
   3    -7.63e-005     0.00e+000     0.00e+000     2.25e-006     3.80e-023     7.18e-035
   4    -6.48e-005     0.00e+000     0.00e+000     2.25e-006     2.48e-019    -1.63e-034
   5    -6.48e-005     0.00e+000     0.00e+000     2.25e-006     2.48e-019    -1.63e-034
   6    -5.32e-005     0.00e+000     0.00e+000     2.25e-006     4.95e-019    -2.55e-034
   7    -7.63e-005     0.00e+000     0.00e+000     2.25e-006     3.80e-023     7.18e-035
   8    -7.63e-005     0.00e+000     0.00e+000     2.25e-006     3.80e-023     7.18e-035
   9    -7.63e-005     0.00e+000     0.00e+000     2.25e-006     3.80e-023     7.18e-035
  10    -8.79e-005     0.00e+000     0.00e+000     2.25e-006    -2.47e-019    -1.62e-034
  11    -8.79e-005     0.00e+000     0.00e+000     2.25e-006    -2.47e-019    -1.62e-034
  12    -9.94e-005     0.00e+000     0.00e+000     2.25e-006    -4.95e-019    -3.05e-034
  13    -7.63e-005     0.00e+000     0.00e+000     2.25e-006     3.80e-023     7.18e-035
  14    -7.63e-005     0.00e+000     0.00e+000     2.25e-006     3.80e-023     7.18e-035
  15    -7.63e-005     0.00e+000     0.00e+000     2.25e-006     3.80e-023     7.18e-035
  16    -6.48e-005     0.00e+000     0.00e+000     2.25e-006     2.48e-019    -1.63e-034
  17    -6.48e-005     0.00e+000     0.00e+000     2.25e-006     2.48e-019    -1.63e-034
  18    -5.32e-005     0.00e+000     0.00e+000     2.25e-006     4.95e-019    -2.55e-034
  19    -7.63e-005     0.00e+000     0.00e+000     2.25e-006     3.80e-023     7.18e-035
  20    -7.63e-005     0.00e+000     0.00e+000     2.25e-006     3.80e-023     7.18e-035
  21    -7.63e-005     0.00e+000     0.00e+000     2.25e-006     3.80e-023     7.18e-035
  22    -8.79e-005     0.00e+000     0.00e+000     2.25e-006    -2.47e-019    -1.62e-034
  23    -8.79e-005     0.00e+000     0.00e+000     2.25e-006    -2.47e-019    -1.62e-034
  24    -9.94e-005     0.00e+000     0.00e+000     2.25e-006    -4.95e-019    -3.05e-034
 单元号：              4
高斯点     Stra11       Stra22        Stra33        Stra12        Stra13        Stra23
   1    -7.43e-005     0.00e+000     0.00e+000     1.14e-006     3.81e-023    -2.95e-033
   2    -7.43e-005     0.00e+000     0.00e+000     1.14e-006     3.81e-023    -2.95e-033
   3    -7.43e-005     0.00e+000     0.00e+000     1.14e-006     3.81e-023    -2.95e-033
   4    -5.42e-005     0.00e+000     0.00e+000     1.14e-006     2.78e-019    -2.85e-033
   5    -5.42e-005     0.00e+000     0.00e+000     1.14e-006     2.78e-019    -2.85e-033
   6    -3.42e-005     0.00e+000     0.00e+000     1.14e-006     5.55e-019    -3.03e-033
   7    -7.43e-005     0.00e+000     0.00e+000     1.14e-006     3.81e-023    -2.95e-033
   8    -7.43e-005     0.00e+000     0.00e+000     1.14e-006     3.81e-023    -2.95e-033
   9    -7.43e-005     0.00e+000     0.00e+000     1.14e-006     3.81e-023    -2.95e-033
  10    -9.43e-005     0.00e+000     0.00e+000     1.14e-006    -2.77e-019    -2.79e-033
  11    -9.43e-005     0.00e+000     0.00e+000     1.14e-006    -2.77e-019    -2.79e-033
  12    -1.14e-004     0.00e+000     0.00e+000     1.14e-006    -5.55e-019    -3.10e-033
  13    -7.43e-005     0.00e+000     0.00e+000     1.14e-006     3.81e-023    -2.95e-033
  14    -7.43e-005     0.00e+000     0.00e+000     1.14e-006     3.81e-023    -2.95e-033
  15    -7.43e-005     0.00e+000     0.00e+000     1.14e-006     3.81e-023    -2.95e-033
  16    -5.42e-005     0.00e+000     0.00e+000     1.14e-006     2.78e-019    -2.85e-033
  17    -5.42e-005     0.00e+000     0.00e+000     1.14e-006     2.78e-019    -2.85e-033
  18    -3.42e-005     0.00e+000     0.00e+000     1.14e-006     5.55e-019    -3.03e-033
  19    -7.43e-005     0.00e+000     0.00e+000     1.14e-006     3.81e-023    -2.95e-033
  20    -7.43e-005     0.00e+000     0.00e+000     1.14e-006     3.81e-023    -2.95e-033
  21    -7.43e-005     0.00e+000     0.00e+000     1.14e-006     3.81e-023    -2.95e-033
  22    -9.43e-005     0.00e+000     0.00e+000     1.14e-006    -2.77e-019    -2.79e-033
  23    -9.43e-005     0.00e+000     0.00e+000     1.14e-006    -2.77e-019    -2.79e-033
  24    -1.14e-004     0.00e+000     0.00e+000     1.14e-006    -5.55e-019    -3.10e-033
 单元号：              5
高斯点     Stra11       Stra22        Stra33        Stra12        Stra13        Stra23
   1    -7.24e-005     0.00e+000     0.00e+000     2.09e-007     3.82e-023    -2.37e-033
   2    -7.24e-005     0.00e+000     0.00e+000     2.09e-007     3.82e-023    -2.37e-033
   3    -7.24e-005     0.00e+000     0.00e+000     2.09e-007     3.82e-023    -2.37e-033
   4    -4.90e-005     0.00e+000     0.00e+000     2.09e-007     2.84e-019    -2.18e-033
   5    -4.90e-005     0.00e+000     0.00e+000     2.09e-007     2.84e-019    -2.18e-033
   6    -2.57e-005     0.00e+000     0.00e+000     2.09e-007     5.67e-019    -2.17e-033
   7    -7.24e-005     0.00e+000     0.00e+000     2.09e-007     3.82e-023    -2.37e-033
   8    -7.24e-005     0.00e+000     0.00e+000     2.09e-007     3.82e-023    -2.37e-033
   9    -7.24e-005     0.00e+000     0.00e+000     2.09e-007     3.82e-023    -2.37e-033
  10    -9.57e-005     0.00e+000     0.00e+000     2.09e-007    -2.84e-019    -2.08e-033
  11    -9.57e-005     0.00e+000     0.00e+000     2.09e-007    -2.84e-019    -2.08e-033
  12    -1.19e-004     0.00e+000     0.00e+000     2.09e-007    -5.67e-019    -2.11e-033
  13    -7.24e-005     0.00e+000     0.00e+000     2.09e-007     3.82e-023    -2.37e-033
  14    -7.24e-005     0.00e+000     0.00e+000     2.09e-007     3.82e-023    -2.37e-033
  15    -7.24e-005     0.00e+000     0.00e+000     2.09e-007     3.82e-023    -2.37e-033
  16    -4.90e-005     0.00e+000     0.00e+000     2.09e-007     2.84e-019    -2.18e-033
  17    -4.90e-005     0.00e+000     0.00e+000     2.09e-007     2.84e-019    -2.18e-033
  18    -2.57e-005     0.00e+000     0.00e+000     2.09e-007     5.67e-019    -2.17e-033
  19    -7.24e-005     0.00e+000     0.00e+000     2.09e-007     3.82e-023    -2.37e-033
  20    -7.24e-005     0.00e+000     0.00e+000     2.09e-007     3.82e-023    -2.37e-033
  21    -7.24e-005     0.00e+000     0.00e+000     2.09e-007     3.82e-023    -2.37e-033
  22    -9.57e-005     0.00e+000     0.00e+000     2.09e-007    -2.84e-019    -2.08e-033
  23    -9.57e-005     0.00e+000     0.00e+000     2.09e-007    -2.84e-019    -2.08e-033
  24    -1.19e-004     0.00e+000     0.00e+000     2.09e-007    -5.67e-019    -2.11e-033
 单元号：              6
高斯点     Stra11       Stra22        Stra33        Stra12        Stra13        Stra23
   1    -7.07e-005     0.00e+000     0.00e+000    -5.35e-007     3.85e-023    -2.92e-034
   2    -7.07e-005     0.00e+000     0.00e+000    -5.35e-007     3.85e-023    -2.92e-034
   3    -7.07e-005     0.00e+000     0.00e+000    -5.35e-007     3.85e-023    -2.92e-034
   4    -4.81e-005     0.00e+000     0.00e+000    -5.35e-007     3.23e-019    -6.87e-034
   5    -4.81e-005     0.00e+000     0.00e+000    -5.35e-007     3.23e-019    -6.87e-034
   6    -2.55e-005     0.00e+000     0.00e+000    -5.35e-007     6.47e-019    -9.42e-034
   7    -7.07e-005     0.00e+000     0.00e+000    -5.35e-007     3.85e-023    -2.92e-034
   8    -7.07e-005     0.00e+000     0.00e+000    -5.35e-007     3.85e-023    -2.92e-034
   9    -7.07e-005     0.00e+000     0.00e+000    -5.35e-007     3.85e-023    -2.92e-034
  10    -9.33e-005     0.00e+000     0.00e+000    -5.35e-007    -3.23e-019    -7.24e-034
  11    -9.33e-005     0.00e+000     0.00e+000    -5.35e-007    -3.23e-019    -7.24e-034
  12    -1.16e-004     0.00e+000     0.00e+000    -5.35e-007    -6.47e-019    -1.05e-033
  13    -7.07e-005     0.00e+000     0.00e+000    -5.35e-007     3.85e-023    -2.92e-034
  14    -7.07e-005     0.00e+000     0.00e+000    -5.35e-007     3.85e-023    -2.92e-034
  15    -7.07e-005     0.00e+000     0.00e+000    -5.35e-007     3.85e-023    -2.92e-034
  16    -4.81e-005     0.00e+000     0.00e+000    -5.35e-007     3.23e-019    -6.87e-034
  17    -4.81e-005     0.00e+000     0.00e+000    -5.35e-007     3.23e-019    -6.87e-034
  18    -2.55e-005     0.00e+000     0.00e+000    -5.35e-007     6.47e-019    -9.42e-034
  19    -7.07e-005     0.00e+000     0.00e+000    -5.35e-007     3.85e-023    -2.92e-034
  20    -7.07e-005     0.00e+000     0.00e+000    -5.35e-007     3.85e-023    -2.92e-034
  21    -7.07e-005     0.00e+000     0.00e+000    -5.35e-007     3.85e-023    -2.92e-034
  22    -9.33e-005     0.00e+000     0.00e+000    -5.35e-007    -3.23e-019    -7.24e-034
  23    -9.33e-005     0.00e+000     0.00e+000    -5.35e-007    -3.23e-019    -7.24e-034
  24    -1.16e-004     0.00e+000     0.00e+000    -5.35e-007    -6.47e-019    -1.05e-033
 单元号：              7
高斯点     Stra11       Stra22        Stra33        Stra12        Stra13        Stra23
   1    -6.92e-005     0.00e+000     0.00e+000    -1.09e-006     3.88e-023    -1.16e-033
   2    -6.92e-005     0.00e+000     0.00e+000    -1.09e-006     3.88e-023    -1.16e-033
   3    -6.92e-005     0.00e+000     0.00e+000    -1.09e-006     3.88e-023    -1.16e-033
   4    -5.03e-005     0.00e+000     0.00e+000    -1.09e-006     3.54e-019    -1.66e-033
   5    -5.03e-005     0.00e+000     0.00e+000    -1.09e-006     3.54e-019    -1.66e-033
   6    -3.14e-005     0.00e+000     0.00e+000    -1.09e-006     7.07e-019    -2.01e-033
   7    -6.92e-005     0.00e+000     0.00e+000    -1.09e-006     3.88e-023    -1.16e-033
   8    -6.92e-005     0.00e+000     0.00e+000    -1.09e-006     3.88e-023    -1.16e-033
   9    -6.92e-005     0.00e+000     0.00e+000    -1.09e-006     3.88e-023    -1.16e-033
  10    -8.81e-005     0.00e+000     0.00e+000    -1.09e-006    -3.53e-019    -1.68e-033
  11    -8.81e-005     0.00e+000     0.00e+000    -1.09e-006    -3.53e-019    -1.68e-033
  12    -1.07e-004     0.00e+000     0.00e+000    -1.09e-006    -7.07e-019    -2.08e-033
  13    -6.92e-005     0.00e+000     0.00e+000    -1.09e-006     3.88e-023    -1.16e-033
  14    -6.92e-005     0.00e+000     0.00e+000    -1.09e-006     3.88e-023    -1.16e-033
  15    -6.92e-005     0.00e+000     0.00e+000    -1.09e-006     3.88e-023    -1.16e-033
  16    -5.03e-005     0.00e+000     0.00e+000    -1.09e-006     3.54e-019    -1.66e-033
  17    -5.03e-005     0.00e+000     0.00e+000    -1.09e-006     3.54e-019    -1.66e-033
  18    -3.14e-005     0.00e+000     0.00e+000    -1.09e-006     7.07e-019    -2.01e-033
  19    -6.92e-005     0.00e+000     0.00e+000    -1.09e-006     3.88e-023    -1.16e-033
  20    -6.92e-005     0.00e+000     0.00e+000    -1.09e-006     3.88e-023    -1.16e-033
  21    -6.92e-005     0.00e+000     0.00e+000    -1.09e-006     3.88e-023    -1.16e-033
  22    -8.81e-005     0.00e+000     0.00e+000    -1.09e-006    -3.53e-019    -1.68e-033
  23    -8.81e-005     0.00e+000     0.00e+000    -1.09e-006    -3.53e-019    -1.68e-033
  24    -1.07e-004     0.00e+000     0.00e+000    -1.09e-006    -7.07e-019    -2.08e-033
 单元号：              8
高斯点     Stra11       Stra22        Stra33        Stra12        Stra13        Stra23
   1    -6.78e-005     0.00e+000     0.00e+000    -1.46e-006     3.92e-023     2.93e-033
   2    -6.78e-005     0.00e+000     0.00e+000    -1.46e-006     3.92e-023     2.93e-033
   3    -6.78e-005     0.00e+000     0.00e+000    -1.46e-006     3.92e-023     2.93e-033
   4    -5.47e-005     0.00e+000     0.00e+000    -1.46e-006     3.37e-019     2.65e-033
   5    -5.47e-005     0.00e+000     0.00e+000    -1.46e-006     3.37e-019     2.65e-033
   6    -4.16e-005     0.00e+000     0.00e+000    -1.46e-006     6.75e-019     3.01e-033
   7    -6.78e-005     0.00e+000     0.00e+000    -1.46e-006     3.92e-023     2.93e-033
   8    -6.78e-005     0.00e+000     0.00e+000    -1.46e-006     3.92e-023     2.93e-033
   9    -6.78e-005     0.00e+000     0.00e+000    -1.46e-006     3.92e-023     2.93e-033
  10    -8.10e-005     0.00e+000     0.00e+000    -1.46e-006    -3.37e-019     2.58e-033
  11    -8.10e-005     0.00e+000     0.00e+000    -1.46e-006    -3.37e-019     2.58e-033
  12    -9.41e-005     0.00e+000     0.00e+000    -1.46e-006    -6.74e-019     2.92e-033
  13    -6.78e-005     0.00e+000     0.00e+000    -1.46e-006     3.92e-023     2.93e-033
  14    -6.78e-005     0.00e+000     0.00e+000    -1.46e-006     3.92e-023     2.93e-033
  15    -6.78e-005     0.00e+000     0.00e+000    -1.46e-006     3.92e-023     2.93e-033
  16    -5.47e-005     0.00e+000     0.00e+000    -1.46e-006     3.37e-019     2.65e-033
  17    -5.47e-005     0.00e+000     0.00e+000    -1.46e-006     3.37e-019     2.65e-033
  18    -4.16e-005     0.00e+000     0.00e+000    -1.46e-006     6.75e-019     3.01e-033
  19    -6.78e-005     0.00e+000     0.00e+000    -1.46e-006     3.92e-023     2.93e-033
  20    -6.78e-005     0.00e+000     0.00e+000    -1.46e-006     3.92e-023     2.93e-033
